maintenance_id,vehicle_id,maintenance_date,maintenance_type,cost,downtime_days,make,model,category_id,category_name
1,67,2024-11-22,Routine Service,2574.27,2,BMW,5 Series,4,Luxury
2,102,2024-08-13,Battery/Electric,7515.29,2,Audi,A6,4,Luxury
3,177,2025-07-04,Tire Change,6314.13,1,Hyundai,Kona Electric,6,Electric
4,49,2025-08-17,Tire Change,2185.09,1,Hyundai,Verna,2,Sedan
5,52,2025-12-08,Tire Change,5963.37,1,Hyundai,Verna,2,Sedan
6,158,2024-06-23,Repair,6613.55,2,Hyundai,Verna,2,Sedan
7,175,2025-06-29,Battery/Electric,11135.14,2,Hyundai,Verna,2,Sedan
8,151,2025-08-18,Routine Service,3635.85,2,Mahindra,XUV700,3,SUV
9,111,2024-07-24,Tire Change,2065.08,1,Maruti Suzuki,Swift,1,Hatchback
10,157,2024-07-16,Tire Change,7810.58,1,Mahindra,XUV700,3,SUV
11,144,2024-07-01,Tire Change,4023.69,1,Mercedes-Benz,E-Class,4,Luxury
12,153,2024-03-08,Repair,13260.8,5,Hyundai,Verna,2,Sedan
13,6,2025-07-24,Routine Service,1548.27,1,Tata,Tiago,1,Hatchback
14,16,2024-10-29,Battery/Electric,18313.75,3,Tata,Tiago,1,Hatchback
15,158,2025-05-14,Routine Service,3793.2,1,Hyundai,Verna,2,Sedan
16,70,2026-04-23,Battery/Electric,15815.29,2,Maruti Suzuki,Ertiga,5,Van
17,179,2025-08-30,Accident Repair,18417.73,10,Hyundai,Verna,2,Sedan
18,169,2024-11-27,Routine Service,1995.56,2,Maruti Suzuki,Swift,1,Hatchback
19,42,2024-05-30,Routine Service,2516.67,1,BMW,5 Series,4,Luxury
20,134,2026-05-09,Battery/Electric,12961.84,1,Maruti Suzuki,Ertiga,5,Van
21,63,2026-05-17,Tire Change,3657.76,1,Skoda,Slavia,2,Sedan
22,51,2024-08-03,Routine Service,2696.36,1,Hyundai,i10,1,Hatchback
23,129,2026-02-10,Routine Service,2144.97,1,Honda,City,2,Sedan
24,130,2025-03-10,Routine Service,2090.08,1,Skoda,Slavia,2,Sedan
25,8,2026-03-15,Repair,6201.32,4,Tata,Tiago,1,Hatchback
26,120,2025-04-15,Routine Service,2045.16,2,Toyota,Fortuner,3,SUV
27,166,2024-09-29,Accident Repair,23870.08,9,Honda,City,2,Sedan
28,56,2026-01-18,Repair,7563.29,5,Kia,Seltos,3,SUV
29,101,2025-01-21,Routine Service,2273.14,2,Tata,Tiago,1,Hatchback
30,129,2024-12-31,Accident Repair,54667.23,5,Honda,City,2,Sedan
31,58,2026-03-29,Battery/Electric,15903.53,2,Honda,City,2,Sedan
32,87,2024-04-16,Routine Service,3062.51,2,Skoda,Slavia,2,Sedan
33,6,2025-09-14,Routine Service,2061.89,1,Tata,Tiago,1,Hatchback
34,163,2024-01-10,Battery/Electric,15908.45,2,Hyundai,Verna,2,Sedan
35,82,2025-05-31,Accident Repair,38750.33,10,Hyundai,Creta,3,SUV
36,149,2025-05-17,Tire Change,3910.54,1,Hyundai,Creta,3,SUV
37,143,2024-05-19,Accident Repair,53551.55,10,Honda,City,2,Sedan
38,31,2025-12-04,Routine Service,1554.18,2,Skoda,Slavia,2,Sedan
39,32,2025-08-21,Routine Service,1831.6,2,Tata,Nexon EV,6,Electric
40,60,2024-04-16,Accident Repair,59095.19,10,Hyundai,Verna,2,Sedan
41,86,2024-07-02,Routine Service,3016.77,1,Mahindra,XUV700,3,SUV
42,52,2026-06-23,Repair,13049.17,3,Hyundai,Verna,2,Sedan
43,26,2024-08-09,Routine Service,3667.96,1,Hyundai,Verna,2,Sedan
