payment_id,rental_id,payment_date,amount,payment_method,payment_status,vehicle_id,customer_id,pickup_date
1,1,2025-05-29,19950.0,Credit Card,Success,102,373,2025-05-28
2,2,2025-11-07,10000.0,Credit Card,Success,38,754,2025-11-06
3,4,2025-10-27,21137.5,Debit Card,Success,134,649,2025-10-26
4,5,2026-05-05,13300.0,Net Banking,Success,65,386,2026-05-05
5,6,2025-05-29,4500.0,Upi,Success,113,170,2025-05-28
6,7,2024-08-24,3705.0,Credit Card,Success,85,738,2024-08-23
7,8,2025-08-29,1350.0,Upi,Success,162,525,2025-08-29
8,9,2026-06-18,2755.0,Debit Card,Success,170,842,2026-06-18
9,10,2026-03-24,9000.0,Debit Card,Success,47,639,2026-03-24
10,11,2024-01-17,3870.0,Upi,Success,130,701,2024-01-17
11,12,2024-04-05,11400.0,Upi,Success,34,618,2024-04-05
12,13,2024-12-24,2450.0,Net Banking,Success,179,590,2024-12-24
13,14,2024-09-20,5400.0,Credit Card,Success,2,592,2024-09-20
14,15,2025-10-29,23220.0,Upi,Success,67,876,2025-10-29
15,16,2024-07-03,4800.0,Upi,Success,143,496,2024-07-02
16,17,2024-08-23,3040.0,Cash,Success,180,166,2024-08-23
17,18,2026-04-03,17500.0,Net Banking,Success,38,483,2026-04-03
18,19,2025-09-21,15172.5,Upi,Success,153,59,2025-09-20
19,20,2025-06-12,8460.0,Debit Card,Success,158,174,2025-06-12
20,21,2025-02-19,13300.0,Upi,Success,133,16,2025-02-19
21,22,2025-02-18,16340.0,Upi,Success,67,180,2025-02-17
22,23,2025-07-31,5200.0,Credit Card,Success,63,776,2025-07-30
23,24,2024-12-27,9000.0,Net Banking,Success,3,718,2024-12-27
24,25,2024-11-17,3100.0,Credit Card,Success,147,276,2024-11-17
25,26,2026-05-04,1845.0,Debit Card,Success,159,365,2026-05-04
26,27,2025-05-19,4600.0,Upi,Success,148,890,2025-05-19
27,28,2025-07-08,12150.0,Credit Card,Success,89,404,2025-07-07
28,29,2024-08-03,3900.0,Debit Card,Refunded,26,334,2024-08-03
29,30,2025-05-25,19000.0,Upi,Refunded,108,718,2025-05-25
30,31,2026-01-08,8977.5,Credit Card,Success,61,569,2026-01-08
31,33,2024-04-11,7750.0,Upi,Success,16,221,2024-04-11
32,34,2024-12-18,18360.0,Credit Card,Refunded,32,360,2024-12-18
33,35,2025-11-20,2970.0,Upi,Success,115,81,2025-11-20
34,36,2026-05-19,2565.0,Debit Card,Success,21,166,2026-05-19
35,37,2026-02-04,3610.0,Debit Card,Success,116,424,2026-02-04
36,38,2024-02-25,33250.0,Credit Card,Success,102,537,2024-02-25
37,39,2025-03-30,20000.0,Credit Card,Success,34,540,2025-03-29
38,40,2025-07-06,9180.0,Debit Card,Failed,153,468,2025-07-06
39,42,2026-04-15,6750.0,Upi,Success,74,481,2026-04-14
40,43,2024-07-13,17005.0,Credit Card,Success,144,448,2024-07-12
41,44,2026-04-06,14000.0,Credit Card,Success,70,292,2026-04-06
42,46,2025-07-01,5780.0,Debit Card,Success,27,289,2025-07-01
43,47,2025-01-15,5650.0,Credit Card,Success,9,339,2025-01-15
44,48,2026-04-16,13775.0,Upi,Success,4,125,2026-04-16
45,49,2025-06-17,6660.0,Upi,Success,54,485,2025-06-17
46,50,2025-01-04,18700.0,Debit Card,Success,171,224,2025-01-04
47,51,2025-12-09,4590.0,Upi,Success,153,159,2025-12-08
48,52,2025-07-04,21420.0,Debit Card,Success,60,325,2025-07-03
49,53,2024-05-17,11880.0,Debit Card,Success,11,497,2024-05-17
50,54,2024-10-09,5130.0,Upi,Success,154,882,2024-10-08
