vehicle_id,make,model,category_id,manufacture_year,fuel_type,transmission,seating_capacity,daily_rate,odometer_km,purchase_date,home_location_id,status,category_name,location_id,location_name,city,state,region
1,Hyundai,Creta,3,2020,Diesel,Automatic,5,3000.0,93696,2020-12-04,9,Available,Suv,9,Ahmedabad Branch,Ahmedabad,Gujarat,West
2,Honda,City,2,2023,Petrol,Manual,5,2000.0,31062,2023-01-18,9,Available,Sedan,9,Ahmedabad Branch,Ahmedabad,Gujarat,West
3,Hyundai,Verna,2,2025,Petrol,Automatic,5,1800.0,60392,2025-03-23,6,Available,Sedan,6,Bengaluru Whitefield Branch,Bengaluru,Karnataka,South
4,Hyundai,i10,1,2021,Petrol,Manual,5,1450.0,39671,2021-06-20,1,Rented,Hatchback,1,Jaipur Central Hub,Jaipur,Rajasthan,North
5,Toyota,Fortuner,3,2024,Diesel,Manual,5,3050.0,52400,2024-10-28,10,Available,Suv,10,Lucknow Branch,Lucknow,Uttar Pradesh,North
6,Tata,Tiago,1,2019,Petrol,Manual,5,1350.0,18238,2019-04-28,7,Available,Hatchback,7,Chennai Central Branch,Chennai,Tamil Nadu,South
7,Mahindra,XUV700,3,2024,Diesel,Manual,5,3150.0,94593,2024-05-23,2,Rented,Suv,2,Udaipur City Branch,Udaipur,Rajasthan,North
8,Tata,Tiago,1,2021,Petrol,Manual,5,1500.0,78000,2021-11-23,4,Rented,Hatchback,4,Mumbai Andheri Branch,Mumbai,Maharashtra,West
9,BMW,5 Series,4,2021,Petrol,Manual,5,5650.0,13675,2021-07-09,4,Under Maintenance,Luxury,4,Mumbai Andheri Branch,Mumbai,Maharashtra,West
10,Mahindra,XUV700,3,2024,Diesel,Manual,5,3400.0,39718,2024-08-05,3,Available,Suv,3,Delhi Airport Branch,New Delhi,Delhi,North
11,Mahindra,XUV700,3,2023,Diesel,Automatic,5,3300.0,33746,2023-07-12,3,Available,Suv,3,Delhi Airport Branch,New Delhi,Delhi,North
12,Maruti Suzuki,Swift,1,2020,Petrol,Automatic,5,1300.0,83172,2020-11-14,2,Available,Hatchback,2,Udaipur City Branch,Udaipur,Rajasthan,North
13,Toyota,Fortuner,3,2025,Diesel,Manual,5,4150.0,20014,2025-01-22,9,Rented,Suv,9,Ahmedabad Branch,Ahmedabad,Gujarat,West
14,Mahindra,XUV700,3,2022,Diesel,Manual,5,3300.0,39522,2022-01-24,9,Rented,Suv,9,Ahmedabad Branch,Ahmedabad,Gujarat,West
15,Honda,City,2,2024,Petrol,Automatic,5,2050.0,31071,2024-09-20,3,Available,Sedan,3,Delhi Airport Branch,New Delhi,Delhi,North
16,Tata,Tiago,1,2022,Petrol,Automatic,5,1550.0,52576,2022-01-04,5,Available,Hatchback,5,Pune Station Branch,Pune,Maharashtra,West
17,Tata,Tiago,1,2022,Petrol,Automatic,5,1250.0,74822,2022-02-25,3,Available,Hatchback,3,Delhi Airport Branch,New Delhi,Delhi,North
18,Skoda,Slavia,2,2023,Petrol,Manual,5,2200.0,75686,2023-07-07,4,Rented,Sedan,4,Mumbai Andheri Branch,Mumbai,Maharashtra,West
19,Skoda,Slavia,2,2023,Petrol,Automatic,5,2150.0,37493,2023-08-04,4,Available,Sedan,4,Mumbai Andheri Branch,Mumbai,Maharashtra,West
20,Tata,Tiago,1,2019,Petrol,Manual,5,1350.0,12716,2019-12-21,4,Available,Hatchback,4,Mumbai Andheri Branch,Mumbai,Maharashtra,West
21,Hyundai,i10,1,2024,Petrol,Manual,5,1350.0,75678,2024-08-07,3,Rented,Hatchback,3,Delhi Airport Branch,New Delhi,Delhi,North
22,Maruti Suzuki,Ertiga,5,2020,Diesel,Manual,8,4200.0,91374,2020-02-04,7,Available,Van,7,Chennai Central Branch,Chennai,Tamil Nadu,South
23,Skoda,Slavia,2,2024,Petrol,Manual,5,2300.0,57772,2024-02-02,6,Rented,Sedan,6,Bengaluru Whitefield Branch,Bengaluru,Karnataka,South
24,Maruti Suzuki,Swift,1,2022,Petrol,Manual,5,1450.0,65637,2022-03-09,4,Under Maintenance,Hatchback,4,Mumbai Andheri Branch,Mumbai,Maharashtra,West
25,Tata,Tiago,1,2023,Petrol,Manual,5,1600.0,35982,2023-01-03,3,Available,Hatchback,3,Delhi Airport Branch,New Delhi,Delhi,North
26,Hyundai,Verna,2,2019,Petrol,Automatic,5,1950.0,64638,2019-07-09,5,Available,Sedan,5,Pune Station Branch,Pune,Maharashtra,West
27,Hyundai,Kona Electric,6,2020,Electric,Automatic,5,3400.0,12665,2020-05-07,10,Rented,Electric,10,Lucknow Branch,Lucknow,Uttar Pradesh,North
28,Hyundai,i10,1,2023,Petrol,Manual,5,1550.0,12455,2023-09-06,9,Available,Hatchback,9,Ahmedabad Branch,Ahmedabad,Gujarat,West
