rental_month,total_rentals,total_revenue,avg_rental_value
2024-01,210,2094372.5,9973.2
2024-02,141,1617315.0,11470.32
2024-03,182,1935400.0,10634.07
2024-04,162,1611627.5,9948.32
2024-05,186,1516325.0,8152.28
2024-06,176,1727712.5,9816.55
2024-07,161,1815602.5,11277.03
2024-08,168,1667662.5,9926.56
2024-09,157,1512927.5,9636.48
2024-10,190,1776840.0,9351.79
2024-11,232,2168885.0,9348.64
2024-12,191,1636222.5,8566.61
2025-01,196,1926525.0,9829.21
2025-02,162,1636972.5,10104.77
2025-03,198,1975165.0,9975.58
2025-04,171,1580312.5,9241.59
2025-05,203,1986942.5,9787.89
2025-06,181,1688912.5,9331.01
2025-07,149,1296635.0,8702.25
2025-08,153,1584735.0,10357.75
2025-09,156,1666162.5,10680.53
2025-10,204,2076740.0,10180.1
2025-11,209,1973695.0,9443.52
2025-12,191,1945010.0,10183.3
2026-01,180,2194192.5,12189.96
2026-02,151,1585382.5,10499.22
2026-03,142,1553415.0,10939.54
2026-04,157,1498832.5,9546.7
2026-05,203,2289145.0,11276.58
2026-06,196,1818570.0,9278.42
