pickup_location,pickup_city,total_rentals,total_revenue,avg_rental_value
Lucknow Branch,Lucknow,680,7410885.0,10898.36
Mumbai Andheri Branch,Mumbai,692,6802010.0,9829.49
Delhi Airport Branch,New Delhi,675,6243310.0,9249.35
Ahmedabad Branch,Ahmedabad,528,6135442.5,11620.16
Udaipur City Branch,Udaipur,676,6019247.5,8904.21
Pune Station Branch,Pune,570,5744800.0,10078.6
Bengaluru Whitefield Branch,Bengaluru,515,5527485.0,10732.98
Hyderabad Hitech Branch,Hyderabad,346,3551487.5,10264.41
Jaipur Central Hub,Jaipur,327,3271525.0,10004.66
Chennai Central Branch,Chennai,349,2652045.0,7598.98
