vehicle_id,make,model,rental_revenue,maintenance_cost,net_contribution
103,Tata,Tiago,82552.5,70484.87,12067.630000000005
92,Toyota,Fortuner,92460.0,18947.399999999998,73512.6
138,Tata,Tiago,130910.0,54904.25,76005.75
160,Maruti Suzuki,Swift,114675.0,31885.47,82789.53
19,Skoda,Slavia,94707.5,8832.76,85874.74
123,Hyundai,i10,148005.0,60674.14,87330.86
6,Tata,Tiago,123592.5,35566.13,88026.37
79,Hyundai,Verna,119232.5,31111.04,88121.45999999999
68,Hyundai,Verna,173437.5,85212.45999999999,88225.04000000001
21,Hyundai,i10,122580.0,31869.39,90710.61
